codigo_montante_newave;nome_montante_newave;id_montante_cobre;nome_montante_cobre;codigo_jusante_newave;nome_jusante_newave;id_jusante_cobre_esperado;id_jusante_cobre_encontrado;nome_jusante_cobre_encontrado;codigo_canal_desvio_newave;nome_canal_desvio_newave;id_canal_desvio_cobre_esperado;id_canal_desvio_cobre_encontrado;nome_canal_desvio_cobre_encontrado;resultado_cascata;resultado_canal_desvio;resultado;detalhe
4;FUNIL-GRANDE;2;FUNIL-GRANDE;6;FURNAS;3;3;FURNAS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação FUNIL-GRANDE → FURNAS coincide nos dois modelos.
20;BATALHA;14;BATALHA;21;SERRA FACAO;15;15;SERRA FACAO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação BATALHA → SERRA FACAO coincide nos dois modelos.
21;SERRA FACAO;15;SERRA FACAO;24;EMBORCACAO;16;16;EMBORCACAO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SERRA FACAO → EMBORCACAO coincide nos dois modelos.
27;CAPIM BRANC1;19;CAPIM BRANC1;28;CAPIM BRANC2;20;20;CAPIM BRANC2;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CAPIM BRANC1 → CAPIM BRANC2 coincide nos dois modelos.
28;CAPIM BRANC2;20;CAPIM BRANC2;31;ITUMBIARA;23;23;ITUMBIARA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CAPIM BRANC2 → ITUMBIARA coincide nos dois modelos.
29;CORUMBA IV;21;CORUMBA IV;203;CORUMBA III;115;115;CORUMBA III;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CORUMBA IV → CORUMBA III coincide nos dois modelos.
66;ITAIPU;45;ITAIPU;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
131;NILO PECANHA;88;NILO PECANHA;133;P. PASSOS;90;90;P. PASSOS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação NILO PECANHA → P. PASSOS coincide nos dois modelos.
132;FONTES;89;FONTES;133;P. PASSOS;90;90;P. PASSOS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação FONTES → P. PASSOS coincide nos dois modelos.
141;BAGUARI;94;BAGUARI;143;AIMORES;95;95;AIMORES;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação BAGUARI → AIMORES coincide nos dois modelos.
153;SAO DOMINGOS;99;SAO DOMINGOS;46;P. PRIMAVERA;33;33;P. PRIMAVERA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SAO DOMINGOS → P. PRIMAVERA coincide nos dois modelos.
155;RETIRO BAIXO;101;RETIRO BAIXO;156;TRES MARIAS;102;102;TRES MARIAS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação RETIRO BAIXO → TRES MARIAS coincide nos dois modelos.
156;TRES MARIAS;102;TRES MARIAS;169;SOBRADINHO;104;104;SOBRADINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação TRES MARIAS → SOBRADINHO coincide nos dois modelos.
162;QUEIMADO;103;QUEIMADO;169;SOBRADINHO;104;104;SOBRADINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação QUEIMADO → SOBRADINHO coincide nos dois modelos.
195;JAURU;113;JAURU;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
196;GUAPORE;114;GUAPORE;285;JIRAU;144;144;JIRAU;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação GUAPORE → JIRAU coincide nos dois modelos.
203;CORUMBA III;115;CORUMBA III;30;CORUMBA I;22;22;CORUMBA I;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CORUMBA III → CORUMBA I coincide nos dois modelos.
227;SINOP;120;SINOP;228;COLIDER;121;121;COLIDER;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SINOP → COLIDER coincide nos dois modelos.
228;COLIDER;121;COLIDER;229;TELES PIRES;122;122;TELES PIRES;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação COLIDER → TELES PIRES coincide nos dois modelos.
229;TELES PIRES;122;TELES PIRES;230;SAO MANOEL;123;123;SAO MANOEL;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação TELES PIRES → SAO MANOEL coincide nos dois modelos.
230;SAO MANOEL;123;SAO MANOEL;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
241;SLT VERDINHO;124;SLT VERDINHO;34;I. SOLTEIRA;25;25;I. SOLTEIRA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SLT VERDINHO → I. SOLTEIRA coincide nos dois modelos.
249;OURINHOS;125;OURINHOS;50;L.N. GARCEZ;37;37;L.N. GARCEZ;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação OURINHOS → L.N. GARCEZ coincide nos dois modelos.
251;SERRA MESA;126;SERRA MESA;252;CANA BRAVA;127;127;CANA BRAVA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SERRA MESA → CANA BRAVA coincide nos dois modelos.
252;CANA BRAVA;127;CANA BRAVA;253;SAO SALVADOR;128;128;SAO SALVADOR;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CANA BRAVA → SAO SALVADOR coincide nos dois modelos.
253;SAO SALVADOR;128;SAO SALVADOR;257;PEIXE ANGIC;129;129;PEIXE ANGIC;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SAO SALVADOR → PEIXE ANGIC coincide nos dois modelos.
257;PEIXE ANGIC;129;PEIXE ANGIC;261;LAJEADO;131;131;LAJEADO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação PEIXE ANGIC → LAJEADO coincide nos dois modelos.
260;ESTRELA;130;ESTRELA;262;SALTO;132;132;SALTO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ESTRELA → SALTO coincide nos dois modelos.
261;LAJEADO;131;LAJEADO;267;ESTREITO TOC;133;133;ESTREITO TOC;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação LAJEADO → ESTREITO TOC coincide nos dois modelos.
262;SALTO;132;SALTO;241;SLT VERDINHO;124;124;SLT VERDINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SALTO → SLT VERDINHO coincide nos dois modelos.
276;RONDON II;136;RONDON II;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
281;PONTE PEDRA;141;PONTE PEDRA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
285;JIRAU;144;JIRAU;287;STO ANTONIO;146;146;STO ANTONIO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação JIRAU → STO ANTONIO coincide nos dois modelos.
287;STO ANTONIO;146;STO ANTONIO;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
290;ESPORA;148;ESPORA;34;I. SOLTEIRA;25;25;I. SOLTEIRA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ESPORA → I. SOLTEIRA coincide nos dois modelos.
304;ITIQUIRA I;149;ITIQUIRA I;305;ITIQUIRA II;150;150;ITIQUIRA II;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ITIQUIRA I → ITIQUIRA II coincide nos dois modelos.
305;ITIQUIRA II;150;ITIQUIRA II;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
309;JURUENA;151;JURUENA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
310;DARDANELOS;152;DARDANELOS;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
311;CACU;153;CACU;312;B. COQUEIROS;154;154;B. COQUEIROS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CACU → B. COQUEIROS coincide nos dois modelos.
312;B. COQUEIROS;154;B. COQUEIROS;315;FOZ R. CLARO;156;156;FOZ R. CLARO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação B. COQUEIROS → FOZ R. CLARO coincide nos dois modelos.
315;FOZ R. CLARO;156;FOZ R. CLARO;34;I. SOLTEIRA;25;25;I. SOLTEIRA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação FOZ R. CLARO → I. SOLTEIRA coincide nos dois modelos.
117;GUARAPIRANGA;76;GUARAPIRANGA;118;BILLINGS;77;77;BILLINGS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação GUARAPIRANGA → BILLINGS coincide nos dois modelos.
118;BILLINGS;77;BILLINGS;119;HENRY BORDEN;78;78;HENRY BORDEN;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação BILLINGS → HENRY BORDEN coincide nos dois modelos.
119;HENRY BORDEN;78;HENRY BORDEN;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
120;JAGUARI;79;JAGUARI;123;FUNIL;82;82;FUNIL;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação JAGUARI → FUNIL coincide nos dois modelos.
121;PARAIBUNA;80;PARAIBUNA;122;SANTA BRANCA;81;81;SANTA BRANCA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação PARAIBUNA → SANTA BRANCA coincide nos dois modelos.
122;SANTA BRANCA;81;SANTA BRANCA;123;FUNIL;82;82;FUNIL;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SANTA BRANCA → FUNIL coincide nos dois modelos.
123;FUNIL;82;FUNIL;131;NILO PECANHA;88;88;NILO PECANHA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação FUNIL → NILO PECANHA coincide nos dois modelos.
124;LAJES;83;LAJES;132;FONTES;89;89;FONTES;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação LAJES → FONTES coincide nos dois modelos.
126;PICADA;84;PICADA;127;SOBRAGI;85;85;SOBRAGI;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação PICADA → SOBRAGI coincide nos dois modelos.
127;SOBRAGI;85;SOBRAGI;129;SIMPLICIO;86;86;SIMPLICIO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SOBRAGI → SIMPLICIO coincide nos dois modelos.
129;SIMPLICIO;86;SIMPLICIO;130;ILHA POMBOS;87;87;ILHA POMBOS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SIMPLICIO → ILHA POMBOS coincide nos dois modelos.
130;ILHA POMBOS;87;ILHA POMBOS;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
133;P. PASSOS;90;P. PASSOS;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
185;BARRA BRAUNA;108;BARRA BRAUNA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
134;SALTO GRANDE;91;SALTO GRANDE;135;P. ESTRELA;92;92;P. ESTRELA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SALTO GRANDE → P. ESTRELA coincide nos dois modelos.
135;P. ESTRELA;92;P. ESTRELA;141;BAGUARI;94;94;BAGUARI;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação P. ESTRELA → BAGUARI coincide nos dois modelos.
139;CANDONGA;93;CANDONGA;141;BAGUARI;94;94;BAGUARI;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CANDONGA → BAGUARI coincide nos dois modelos.
143;AIMORES;95;AIMORES;144;MASCARENHAS;96;96;MASCARENHAS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação AIMORES → MASCARENHAS coincide nos dois modelos.
144;MASCARENHAS;96;MASCARENHAS;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
145;SUICA;97;SUICA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
192;GUILMAN-AMOR;111;GUILMAN-AMOR;193;SA CARVALHO;112;112;SA CARVALHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação GUILMAN-AMOR → SA CARVALHO coincide nos dois modelos.
193;SA CARVALHO;112;SA CARVALHO;141;BAGUARI;94;94;BAGUARI;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SA CARVALHO → BAGUARI coincide nos dois modelos.
217;ROSAL;118;ROSAL;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
225;SLT APIACAS;119;SLT APIACAS;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
279;SAMUEL;139;SAMUEL;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
148;IRAPE;98;IRAPE;154;ITAPEBI;100;100;ITAPEBI;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação IRAPE → ITAPEBI coincide nos dois modelos.
283;STA CLARA MG;142;STA CLARA MG;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
1;CAMARGOS;0;CAMARGOS;2;ITUTINGA;1;1;ITUTINGA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CAMARGOS → ITUTINGA coincide nos dois modelos.
2;ITUTINGA;1;ITUTINGA;4;FUNIL-GRANDE;2;2;FUNIL-GRANDE;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ITUTINGA → FUNIL-GRANDE coincide nos dois modelos.
6;FURNAS;3;FURNAS;7;M. DE MORAES;4;4;M. DE MORAES;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação FURNAS → M. DE MORAES coincide nos dois modelos.
7;M. DE MORAES;4;M. DE MORAES;8;ESTREITO;5;5;ESTREITO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação M. DE MORAES → ESTREITO coincide nos dois modelos.
8;ESTREITO;5;ESTREITO;9;JAGUARA;;6;IGARAPAVA;0;-;;;-;Ligação desviada em razão de usina intermediária não representada;Sem canal de desvio nos dois modelos;Ligação desviada em razão de usina intermediária não representada;A usina jusante esperada, JAGUARA, não foi representada no COBRE. A ligação foi direcionada para IGARAPAVA, próxima referência representada na cascata.
9;JAGUARA;;;10;IGARAPAVA;6;;-;0;-;;;-;Usina montante do NEWAVE não representada no COBRE;Não comparado: usina montante não representada;Usina montante do NEWAVE não representada no COBRE;A usina JAGUARA existe na cascata do PMO, mas não foi representada no deck COBRE.
10;IGARAPAVA;6;IGARAPAVA;11;VOLTA GRANDE;7;7;VOLTA GRANDE;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação IGARAPAVA → VOLTA GRANDE coincide nos dois modelos.
11;VOLTA GRANDE;7;VOLTA GRANDE;12;P. COLOMBIA;8;8;P. COLOMBIA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação VOLTA GRANDE → P. COLOMBIA coincide nos dois modelos.
