codigo_newave;id_esperado_cobre;id_cobre_encontrado;nome_newave;nome_cobre;status_newave;resultado
1;0;0;CAMARGOS;CAMARGOS;EX;Convertida corretamente
2;1;1;ITUTINGA;ITUTINGA;EX;Convertida corretamente
4;2;2;FUNIL-GRANDE;FUNIL-GRANDE;EX;Convertida corretamente
6;3;3;FURNAS;FURNAS;EX;Convertida corretamente
7;4;4;M. DE MORAES;M. DE MORAES;EX;Convertida corretamente
8;5;5;ESTREITO;ESTREITO;EX;Convertida corretamente
9;6;;JAGUARA;;EE;Ausente no COBRE
10;7;6;IGARAPAVA;IGARAPAVA;EX;Convertida, mas com ID deslocado
11;8;7;VOLTA GRANDE;VOLTA GRANDE;EX;Convertida, mas com ID deslocado
12;9;8;P. COLOMBIA;P. COLOMBIA;EX;Convertida, mas com ID deslocado
14;10;9;CACONDE;CACONDE;EX;Convertida, mas com ID deslocado
15;11;10;E. DA CUNHA;E. DA CUNHA;EX;Convertida, mas com ID deslocado
16;12;11;A.S.OLIVEIRA;A.S.OLIVEIRA;EX;Convertida, mas com ID deslocado
17;13;12;MARIMBONDO;MARIMBONDO;EX;Convertida, mas com ID deslocado
18;14;13;A. VERMELHA;A. VERMELHA;EX;Convertida, mas com ID deslocado
20;15;14;BATALHA;BATALHA;EX;Convertida, mas com ID deslocado
21;16;15;SERRA FACAO;SERRA FACAO;EX;Convertida, mas com ID deslocado
24;17;16;EMBORCACAO;EMBORCACAO;EX;Convertida, mas com ID deslocado
25;18;17;NOVA PONTE;NOVA PONTE;EX;Convertida, mas com ID deslocado
26;19;18;MIRANDA;MIRANDA;EX;Convertida, mas com ID deslocado
27;20;19;CAPIM BRANC1;CAPIM BRANC1;EX;Convertida, mas com ID deslocado
28;21;20;CAPIM BRANC2;CAPIM BRANC2;EX;Convertida, mas com ID deslocado
29;22;21;CORUMBA IV;CORUMBA IV;EX;Convertida, mas com ID deslocado
30;23;22;CORUMBA I;CORUMBA I;EX;Convertida, mas com ID deslocado
31;24;23;ITUMBIARA;ITUMBIARA;EX;Convertida, mas com ID deslocado
32;25;24;CACH.DOURADA;CACH.DOURADA;EX;Convertida, mas com ID deslocado
33;26;;SAO SIMAO;;EE;Ausente no COBRE
34;27;25;I. SOLTEIRA;I. SOLTEIRA;EX;Convertida, mas com ID deslocado
37;28;26;BARRA BONITA;BARRA BONITA;EX;Convertida, mas com ID deslocado
38;29;27;A.S. LIMA;A.S. LIMA;EX;Convertida, mas com ID deslocado
39;30;28;IBITINGA;IBITINGA;EX;Convertida, mas com ID deslocado
40;31;29;PROMISSAO;PROMISSAO;EX;Convertida, mas com ID deslocado
42;32;30;NAVANHANDAVA;NAVANHANDAVA;EX;Convertida, mas com ID deslocado
43;33;31;TRES IRMAOS;TRES IRMAOS;EX;Convertida, mas com ID deslocado
45;34;32;JUPIA;JUPIA;EX;Convertida, mas com ID deslocado
46;35;33;P. PRIMAVERA;P. PRIMAVERA;EX;Convertida, mas com ID deslocado
47;36;34;A.A. LAYDNER;A.A. LAYDNER;EX;Convertida, mas com ID deslocado
48;37;35;PIRAJU;PIRAJU;EX;Convertida, mas com ID deslocado
49;38;36;CHAVANTES;CHAVANTES;EX;Convertida, mas com ID deslocado
50;39;37;L.N. GARCEZ;L.N. GARCEZ;EX;Convertida, mas com ID deslocado
51;40;38;CANOAS II;CANOAS II;EX;Convertida, mas com ID deslocado
52;41;39;CANOAS I;CANOAS I;EX;Convertida, mas com ID deslocado
53;42;40;PARANAPANEMA;PARANAPANEMA;EX;Convertida, mas com ID deslocado
57;43;41;MAUA;MAUA;EX;Convertida, mas com ID deslocado
61;44;42;CAPIVARA;CAPIVARA;EX;Convertida, mas com ID deslocado
62;45;43;TAQUARUCU;TAQUARUCU;EX;Convertida, mas com ID deslocado
63;46;44;ROSANA;ROSANA;EX;Convertida, mas com ID deslocado
66;47;45;ITAIPU;ITAIPU;EX;Convertida, mas com ID deslocado
71;48;46;STA CLARA PR;STA CLARA PR;EX;Convertida, mas com ID deslocado
72;49;47;FUNDAO;FUNDAO;EX;Convertida, mas com ID deslocado
73;50;48;JORDAO;JORDAO;EX;Convertida, mas com ID deslocado
74;51;;G.B. MUNHOZ;;EE;Ausente no COBRE
76;52;;SEGREDO;;EE;Ausente no COBRE
77;53;49;SLT.SANTIAGO;SLT.SANTIAGO;EX;Convertida, mas com ID deslocado
78;54;50;SALTO OSORIO;SALTO OSORIO;EX;Convertida, mas com ID deslocado
82;55;51;SALTO CAXIAS;SALTO CAXIAS;EX;Convertida, mas com ID deslocado
83;56;52;BAIXO IGUACU;BAIXO IGUACU;EX;Convertida, mas com ID deslocado
86;57;53;BARRA GRANDE;BARRA GRANDE;EX;Convertida, mas com ID deslocado
87;58;54;CANASTRA;CANASTRA;EX;Convertida, mas com ID deslocado
88;59;55;SAO ROQUE;SAO ROQUE;EX;Convertida, mas com ID deslocado
89;60;56;GARIBALDI;GARIBALDI;EX;Convertida, mas com ID deslocado
90;61;57;CAMPOS NOVOS;CAMPOS NOVOS;EX;Convertida, mas com ID deslocado
91;62;58;MACHADINHO;MACHADINHO;EX;Convertida, mas com ID deslocado
92;63;59;ITA;ITA;EX;Convertida, mas com ID deslocado
93;64;60;PASSO FUNDO;PASSO FUNDO;EX;Convertida, mas com ID deslocado
94;65;61;MONJOLINHO;MONJOLINHO;EX;Convertida, mas com ID deslocado
95;66;62;QUEBRA QUEIX;QUEBRA QUEIX;EX;Convertida, mas com ID deslocado
96;67;63;FOZ DO PRATA;FOZ DO PRATA;NE;Convertida, mas com ID deslocado
97;68;64;CASTRO ALVES;CASTRO ALVES;EX;Convertida, mas com ID deslocado
98;69;65;MONTE CLARO;MONTE CLARO;EX;Convertida, mas com ID deslocado
99;70;66;14 DE JULHO;14 DE JULHO;EX;Convertida, mas com ID deslocado
101;71;67;SAO JOSE;SAO JOSE;EX;Convertida, mas com ID deslocado
102;72;68;PASSO S JOAO;PASSO S JOAO;EX;Convertida, mas com ID deslocado
103;73;69;FOZ CHAPECO;FOZ CHAPECO;EX;Convertida, mas com ID deslocado
110;74;70;ERNESTINA;ERNESTINA;EX;Convertida, mas com ID deslocado
111;75;71;PASSO REAL;PASSO REAL;EX;Convertida, mas com ID deslocado
112;76;72;JACUI;JACUI;EX;Convertida, mas com ID deslocado
113;77;73;ITAUBA;ITAUBA;EX;Convertida, mas com ID deslocado
114;78;74;D. FRANCISCA;D. FRANCISCA;EX;Convertida, mas com ID deslocado
115;79;75;G.P. SOUZA;G.P. SOUZA;EX;Convertida, mas com ID deslocado
117;80;76;GUARAPIRANGA;GUARAPIRANGA;EX;Convertida, mas com ID deslocado
118;81;77;BILLINGS;BILLINGS;EX;Convertida, mas com ID deslocado
